Gene	Transcripts
ANO9	NM_001012302.2
ANP32A	NM_006305.3
ANP32B	NM_006401.2
ANP32C	NM_012403
ANP32D	NM_012404.2
ANP32E	NM_030920.4
ANPEP	NM_001150.2
ANTXR1	NM_032208.2
ANTXR2	NM_001145794.1
ANXA1	NM_000700.1
ANXA10	NM_007193.4
ANXA11	NM_001157.2
ANXA13	NM_001003954.1
ANXA2	NM_001002858.2
ANXA3	NM_005139.2
ANXA4	NM_001153.3
ANXA5	NM_001154.3
ANXA6	NM_001155.4
ANXA7	NM_004034.2
ANXA8L1	NM_001098845.2
ANXA8L2	NM_001630.2
ANXA9	NM_003568.2
AOAH	NM_001177506.1
AOC2	NM_009590.2
AOC3	NM_003734.3
AOX1	NM_001159.3
AP1AR	NM_018569.4
AP1B1	NM_001127.3
AP1G1	NM_001128.5
AP1G2	NM_003917.2
AP1M1	NM_001130524.1
AP1M2	NM_005498.4
AP1S1	NM_001283.3
AP1S2	NM_003916.4
AP1S3	NM_001039569.1
AP2A1	NM_014203.2
AP2A2	NM_001242837.1
AP2B1	NM_001030006.1
AP2M1	NM_001025205.1
AP2S1	NM_004069.3
AP3B1	NM_003664.4
AP3B2	NM_004644.4
AP3D1	NM_003938.6
AP3M1	NM_012095.4
AP3M2	NM_006803.3
AP3S1	NM_001284.2
AP4B1	NM_001253852.1
AP4E1	NM_007347.4
AP4M1	NM_004722.3
AP4S1	NM_001254729.1
APAF1	NM_181861.1
APBA1	NM_001163.3
APBA2	NM_005503.3
APBA3	NM_004886.3
APBB1	NM_145689.1
APBB1IP	NM_019043.3
APBB2	NM_004307.1
APBB3	NM_133174.2
APC	NM_000038.5
APC2	NM_005883.2
APCDD1	NM_153000.4
APCDD1L	NM_153360.1
APCS	NM_001639.3
APEH	NM_001640.3
APEX1	NM_001244249.1
APEX2	NM_014481.3
APH1A	NM_001077628.2
APH1B	NM_031301.3
API5	NM_001142930.1
APIP	NM_015957.2
APITD1-CORT	NM_199006.2
APLF	NM_173545.2
APLN	NM_017413.4
APLNR	NM_005161.4
APLP1	NM_001024807.1
APLP2	NM_001243299.1
APOA1	NM_000039.1
APOA1BP	NM_144772.2
APOA2	NM_001643.1
APOA4	NM_000482.3
APOA5	NM_001166598.1
APOB	NM_000384.2
APOBEC1	NM_001644.3
APOBEC2	NM_006789.3
APOBEC3B	NM_004900.4
APOBEC3C	NM_014508.2
APOBEC3D	NM_152426.3
APOBEC3F	NM_145298.5
APOBEC3H	NM_001166003.1
APOBEC4	NM_203454.2
APOBR	NM_018690.3
APOC1	NM_001645.3
APOC3	NM_000040.1
APOC4	NM_001646.2
APOD	NM_001647.3
APOE	NM_000041.2
APOF	NM_001638.2
APOH	NM_000042.2
APOL1	NM_001136540.1
APOL2	NM_145637.1
APOL3	NM_145640.2
APOL4	NM_145660.1
APOL5	NM_030642.1
APOL6	NM_030641.3
APOLD1	NM_001130415.1
APOM	NM_019101.2
APOO	NM_024122.4
APOOL	NM_198450.5
APP	NM_000484.3
APPBP2	NM_006380.2
APPL1	NM_012096.2
APPL2	NM_018171.3
APRT	NM_000485.2
APTX	NM_001195248.1
AQP10	NM_080429.2
AQP11	NM_173039.2
AQP12A	NM_198998.2
AQP12B	NM_001102467.1
AQP2	NM_000486.5
AQP3	NM_004925.4
AQP4	NM_001650.4
AQP5	NM_001651.3
AQP6	NM_001652.3
AQP7	NM_001170.1
AQP8	NM_001169.2
AQP9	NM_020980.3
AQPEP	NM_173800.4
AQR	NM_014691.2
AR	NM_000044.3
ARAF	NM_001654.4
ARAP1	NM_001040118.2
ARAP2	NM_015230.3
ARAP3	NM_022481.5
ARC	NM_015193.4
ARCN1	NM_001655.4
AREG	NM_001657.2
ARF1	NM_001024226.1
ARF3	NM_001659.2
ARF4	NM_001660.3
ARF5	NM_001662.3
ARF6	NM_001663.3
ARFGAP1	NM_175609.2
ARFGAP2	NM_032389.4
ARFGAP3	NM_014570.4
ARFGEF1	NM_006421.4
ARFGEF2	NM_006420.2
ARFIP1	NM_001025595.1
ARFIP2	NM_001242854.1
ARFRP1	NM_003224.4
ARG1	NM_000045.3
ARG2	NM_001172.3
ARGFX	NM_001012659.1
ARGLU1	NM_018011.3
ARHGAP1	NM_004308.3
ARHGAP10	NM_024605.3
ARHGAP11A	NM_014783.3
ARHGAP11B	NM_001039841.1
ARHGAP12	NM_018287.6
ARHGAP15	NM_018460.3
ARHGAP17	NM_001006634.1
ARHGAP18	NM_033515.2
ARHGAP19	NM_032900.5
ARHGAP20	NM_020809.3
ARHGAP21	NM_020824.3
ARHGAP22	NM_021226.3
ARHGAP23	NM_001199417.1
ARHGAP24	NM_001025616.2
ARHGAP25	NM_001007231.2
ARHGAP26	NM_015071.4
ARHGAP27	NM_174919.3
ARHGAP28	NM_001010000.2
ARHGAP29	NM_004815.3
ARHGAP30	NM_001025598.1
ARHGAP31	NM_020754.2
ARHGAP32	NM_001142685.1
ARHGAP33	NM_052948.3
ARHGAP35	NM_004491.4
ARHGAP36	NM_144967.3
ARHGAP39	NM_025251.1
ARHGAP4	NM_001666.4
ARHGAP40	NM_001164431.1
ARHGAP42	NM_152432.2
ARHGAP44	NM_014859.4
ARHGAP5	NM_001030055.1
ARHGAP6	NM_013427.2
ARHGAP9	NM_032496.2
ARHGDIA	NM_004309.4
ARHGDIB	NM_001175.4
ARHGDIG	NM_001176.3
ARHGEF1	NM_199002.1
ARHGEF10	NM_014629.2
ARHGEF10L	NM_018125.3
ARHGEF11	NM_198236.2
ARHGEF12	NM_015313.2
ARHGEF15	NM_173728.3
ARHGEF16	NM_014448.3
ARHGEF17	NM_014786.3
ARHGEF18	NM_001130955.1
ARHGEF19	NM_153213.3
ARHGEF2	NM_001162383.1
ARHGEF25	NM_001111270.2
ARHGEF26	NM_001251962.1
ARHGEF28	NM_001080479.2
ARHGEF3	NM_001128615.1
ARHGEF33	NM_001145451.2
ARHGEF35	NM_001003702.2
ARHGEF37	NM_001001669.2
ARHGEF38	NM_001242729.1
ARHGEF40	NM_018071.4
ARHGEF5	NM_005435.3
ARHGEF6	NM_004840.2
ARHGEF7	NM_001113511.1
ARHGEF9	NM_001173479.1
ARID1A	NM_006015.4
ARID1B	NM_020732.3
ARID2	NM_152641.2
ARID3A	NM_005224.2
ARID3B	NM_006465.2
ARID3C	NM_001017363.1
ARID4A	NM_002892.3
ARID4B	NM_016374.5
ARID5A	NM_212481.1
ARID5B	NM_032199.2
ARIH1	NM_005744.3
ARIH2	NM_006321.2
ARL1	NM_001177.4
ARL10	NM_173664.4
ARL11	NM_138450.5
ARL13A	NM_001162490
ARL13B	NM_001174150.1
ARL14	NM_025047.2
ARL15	NM_019087.2
ARL16	NM_001040025.1
ARL17A	NM_001113738.1
ARL17B	NM_001039083.3
ARL2	NM_001667.3
ARL2BP	NM_012106.3
ARL3	NM_004311.3
ARL4A	NM_212460.3
ARL4C	NM_005737.3
ARL4D	NM_001661.3
ARL5A	NM_012097.3
ARL5B	NM_178815.3
ARL5C	NM_001143968.1
ARL6	NM_177976.2
ARL6IP1	NM_015161.1
ARL6IP4	NM_018694.3
ARL6IP5	NM_006407.3
ARL6IP6	NM_152522.5
ARL8A	NM_138795.3
ARL8B	NM_018184.2
ARL9	NM_206919.1
ARMC1	NM_018120.4
ARMC10	NM_001161009.2
ARMC12	NM_145028.3
ARMC2	NM_032131.4
ARMC3	NM_173081.3
ARMC4	NM_018076.2
ARMC5	NM_001105247.1
ARMC6	NM_033415.3
ARMC7	NM_024585.2
ARMC8	NM_015396.4
ARMC9	NM_025139.4
ARMCX1	NM_016608.1
ARMCX2	NM_014782.5
ARMCX3	NM_177947.2
ARMCX5	NM_022838.3
ARMCX5-GPRASP2	NM_001199818
